keys,es,en
CTRL_DEADZONE,ZONA MUERTA DE LOS STICKS,STICK DEADZONE
CTRL_DEADZONE_HELP,"Ignora los movimientos chicos alrededor del centro. Con gamepad conviene 6-10 %; con una radio, 0.",Ignores small movements around the centre. 6-10 % suits a gamepad; use 0 for a radio.
CTRL_DEFAULT_CONTROLLER,Usar siempre este mando,Always use this controller
CTRL_LISTEN_AGAIN,Detectar de nuevo,Listen again
CTRL_NO_CONTROLLER,No se encontró ningún mando,No controller found
CTRL_RESET,Restablecer,Reset to defaults
CTRL_RESET_CONFIRM,¿Borrar la calibración y las asignaciones de este mando?,Erase the calibration and bindings of this controller?
CTRL_TITLE,Controles,Controls
CTRL_UNBOUND,Sin asignar,Unbound
ERR_AUDIO_OPEN,No se pudo abrir la configuración de audio. Se cargan los valores por defecto.,Could not open the audio configuration file. The default settings will be loaded.
ERR_AUDIO_PARSE,No se pudo leer la configuración de audio. Se cargan los valores por defecto.,Failed to read the audio configuration file. The default settings will be loaded.
ERR_CONTROLLER_NOT_FOUND,"No se encontró el mando %s.
Revisá que esté conectado o elegí otro en la pantalla de Controles.","%s not found!
Please check it is properly plugged in, or head to the Controls settings to update your controller."
ERR_CONTROLS_OPEN,No se pudo abrir la configuración de controles. Revisá la pantalla de Controles.,Could not open the controls configuration file. Please check the Controls settings.
ERR_SETTINGS_OPEN,No se pudo abrir el archivo de ajustes. Se cargan los valores por defecto.,"Error loading the settings file, the default settings will be loaded."
ERR_SETTINGS_PARSE,No se pudo leer el archivo de ajustes. Se cargan los valores por defecto.,"Error parsing the settings file, the default settings will be loaded."
GAME_SECTION_INTERFACE,INTERFAZ,INTERFACE
GAME_STICK_NAVIGATION,Navegación con sticks,Stick navigation
GAME_STICK_NAVIGATION_BETAFLIGHT,Estilo Betaflight,Betaflight style
GAME_STICK_NAVIGATION_GAMEPAD,Mando (recomendado),Gamepad (recommended)
GAME_STICK_NAVIGATION_HELP_BETAFLIGHT,"Como el menú OSD de Betaflight: pitch arriba y abajo para moverte, roll a la derecha para aceptar y roll a la izquierda para volver. Sobre un deslizador o una lista, roll ajusta el valor. El acelerador nunca navega.","Like the Betaflight OSD menu: pitch up and down to move, roll right to select and roll left to go back. On a slider or a list, roll adjusts the value. Throttle never navigates."
GAME_STICK_NAVIGATION_HELP_GAMEPAD,"Los dos sticks y la cruceta mueven el foco; ✕ acepta, ○ vuelve y L1/R1 cambian de sección (A, B, LB y RB en un mando Xbox). Elegí Betaflight o Yaw solo si usás una radio sin botones.","Both sticks and the D-pad move the focus; ✕ selects, ○ goes back and L1/R1 switch sections (A, B, LB and RB on an Xbox controller). Choose Betaflight or Yaw only with a radio that has no buttons."
GAME_STICK_NAVIGATION_HELP_YAW,"Pitch arriba y abajo para moverte, roll para ajustar valores, yaw a la derecha para aceptar y yaw a la izquierda para volver. El acelerador nunca navega.","Pitch up and down to move, roll to adjust values, yaw right to select and yaw left to go back. Throttle never navigates."
GAME_STICK_NAVIGATION_YAW,Aceptar con yaw,Select with yaw
GAME_TAB_GAMEPLAY,Juego,Game
GAME_TAB_HUD,HUD,HUD
GAME_TITLE,Juego y HUD,Game and HUD
HELP_ARMING,"[b]Armar, despegar y aterrizar[/b]
En Estabilizado el acelerador tiene que estar al centro para armar (donde descansa el stick del gamepad); en Actitud y Acro, abajo del todo. Con el dron armado, subí el acelerador de a poco para despegar. Para aterrizar en Estabilizado mantené el acelerador abajo: cerca del suelo baja despacio y los motores se apagan solos al tocar tierra. Si soltás el control en el aire, el dron pasa a Estabilizado y se queda quieto donde está.","[b]Arming, taking off and landing[/b]
In Stabilized the throttle must be centred to arm (where a gamepad stick rests); in Attitude and Acro, all the way down. Once armed, raise the throttle slowly to take off. To land in Stabilized, hold the throttle down: near the ground it descends slowly and the motors stop by themselves on touchdown. If you release the controller in the air, the drone switches to Stabilized and holds its position."
HELP_BATTERY_CRASH,"[b]Batería y choques[/b]
La batería se gasta según el empuje: flotar consume poco; subir y acelerar, mucho. El visor muestra el tiempo de vuelo que queda. Al 20 % limita los motores; al 0 % el dron cae y no se puede volver a armar hasta guardarlo en la maleta, que cambia la batería. Un choque fuerte desarma el dron y se pierde la toma que estabas grabando. Si el dron queda donde no lo alcanzás, Back / Retroceso lo trae de vuelta al punto de despegue.","[b]Battery and crashes[/b]
The battery drains with thrust: hovering uses little; climbing and speeding up, a lot. The viewfinder shows the flight time left. At 20 % it limits the motors; at 0 % the drone falls and cannot be armed again until you pack it in the case, which swaps the battery. A hard crash disarms the drone and loses the clip being recorded. If the drone ends up out of reach, Back / Backspace brings it back to the take-off spot."
HELP_CONTROLS,[b]Controles[/b],[b]Controls[/b]
HELP_CONTROLS_NOTE,Los botones que ves son los de tu mando y cambian solos si pasás al teclado. Todo se puede reasignar en Opciones > Controles.,The buttons shown are your controller's and switch by themselves when you use the keyboard. Everything can be rebound in Options > Controls.
HELP_DEVICE,"[b]Qué necesitás[/b]
Un gamepad (recomendado), teclado y mouse, o una radio con 4 ejes. Con una radio, calibrala en Opciones > Controles y bajá la zona muerta a 0.","[b]What you need[/b]
A gamepad (recommended), keyboard and mouse, or a radio transmitter with 4 axes. With a radio, calibrate it in Options > Controls and set the deadzone to 0."
HELP_FLIGHT_MODES,"[b]Modos de vuelo y color del LED[/b]
  •  Verde, Estabilizado: mantiene posición, altura y rumbo al soltar los sticks. El ideal para filmar con gamepad.
  •  Azul, Actitud: se nivela solo, pero el acelerador controla el empuje directo, como en el simulador.
  •  Rojo, Acro: no se nivela; control total, pensado para una radio.
  •  Rojo intermitente, recuperación: después de un golpe se nivela solo y vuelve a tu modo.
Elegí con qué modo arranca el dron en Ajustes del dron. La vista de piloto (X / C) muestra cómo se inclina el dron; la del gimbal, la que graba, siempre queda nivelada.","[b]Flight modes and LED color[/b]
  •  Green, Stabilized: holds position, altitude and heading when you release the sticks. The best choice to film with a gamepad.
  •  Blue, Attitude: levels itself, but the throttle drives the thrust directly, like in the simulator.
  •  Red, Acro: does not level itself; full control, meant for a radio.
  •  Flashing red, recovery: after a knock it levels itself and returns to your mode.
Choose the starting mode in Drone settings. The pilot view (X / C) shows how the drone tilts; the gimbal view, the one that records, always stays level."
HELP_FLYING,Pilotando,Flying
HELP_GOAL,"[b]Tu trabajo[/b]
Sos el camarógrafo aéreo de un rally. Antes de la largada abrí la tablet (D-pad ↑ o M) para ver el camino, dónde estás y cuándo pasa el auto por tu posición. Caminá hasta un buen lugar cerca del camino, desplegá el dron, despegá antes de que llegue el auto y grabá su paso. Cada toma recibe una nota de C a S y al final de la etapa ves todas tus tomas.","[b]Your job[/b]
You are the aerial camera operator of a rally. Before the start, open the tablet (D-pad ↑ or M) to see the road, where you are and when the car reaches your spot. Walk to a good place near the road, deploy the drone, take off before the car arrives and record it going by. Every clip gets a grade from C to S and at the end of the stage you see all your clips."
HELP_KEY_GIMBAL,Inclinar el gimbal,Tilt the gimbal
HELP_KEY_INTERACT,Desplegar o guardar el dron,Deploy or pack the drone
HELP_KEY_LOOK,Mirar,Look around
HELP_KEY_PAUSE,Pausa,Pause
HELP_KEY_PITCH_ROLL,Avanzar y moverte de costado,Move forward and sideways
HELP_KEY_SPRINT,Trotar,Jog
HELP_KEY_THROTTLE_YAW,"Subir, bajar y girar","Climb, descend and turn"
HELP_KEY_WALK,Caminar,Walk
HELP_MENU_NAVIGATION,"[b]Menús con el mando, el teclado o una radio[/b]
Con gamepad: la cruceta o cualquiera de los dos sticks para moverte, ✕ para aceptar, ○ para volver y L1/R1 para pasar de columna o de pestaña (A, B, LB y RB en un mando Xbox). Sobre un deslizador o una lista, izquierda y derecha cambian el valor.
Con teclado: flechas para moverte, Enter para aceptar, Esc para volver y Tab para pasar de columna.
Con una radio sin botones, elegí el esquema Betaflight o Yaw en Opciones > Juego y HUD: pitch arriba y abajo para moverte, roll (o yaw) a la derecha para aceptar y a la izquierda para volver.","[b]Menus with a gamepad, the keyboard or a radio[/b]
With a gamepad: the D-pad or either stick to move, ✕ to select, ○ to go back and L1/R1 to switch column or tab (A, B, LB and RB on an Xbox controller). On a slider or a list, left and right change the value.
With the keyboard: arrows to move, Enter to select, Esc to go back and Tab to switch column.
With a radio that has no buttons, choose the Betaflight or Yaw scheme in Options > Game and HUD: pitch up and down to move, roll (or yaw) right to select and left to go back."
HELP_SCORING,"[b]Cómo se puntúa una toma[/b]
Mientras grabás, cada cuadro mide cuatro cosas:
  •  Encuadre (35 %): el auto cerca del centro o de un punto de los tercios.
  •  Tamaño (30 %): el auto entre el 1 % y el 25 % de la pantalla; muy lejos queda chico y muy cerca queda cortado.
  •  Estabilidad (25 %): la cámara gira despacio, a menos de 1,2 rad/s.
  •  Continuidad (10 %): cuántos segundos seguidos va bien la toma.
Si algo tapa al auto (árboles, terreno) el cuadro vale menos. La nota del clip: S con promedio de 0,85 o más y al menos 3 segundos seguidos buenos; A desde 0,70; B desde 0,50; C el resto o los clips de menos de 1,5 segundos. Mientras grabás, las barras del visor muestran cada medida en vivo con un consejo.","[b]How a shot is scored[/b]
While recording, every frame measures four things:
  •  Framing (35 %): the car near the centre or a rule-of-thirds point.
  •  Size (30 %): the car between 1 % and 25 % of the screen; too far it is tiny, too close it gets cut.
  •  Stability (25 %): the camera turns slowly, under 1.2 rad/s.
  •  Continuity (10 %): how many seconds in a row the shot works.
Anything hiding the car (trees, terrain) lowers the frame. The clip grade: S with an average of 0.85 or more and at least 3 good seconds in a row; A from 0.70; B from 0.50; C otherwise or for clips under 1.5 seconds. While recording, the viewfinder bars show each measure live with a tip."
HELP_TITLE,Ayuda,Help
HELP_WALKING,Caminando,Walking
HUD_ALT,ALT,ALT
HUD_ALTITUDE,Altura y velocidad vertical,Height and vertical speed
HUD_CAR_MARKER,Marcador del auto,Car marker
HUD_COMPONENTS,ELEMENTOS,ELEMENTS
HUD_CROSSHAIR,Mira,Crosshair
HUD_DIST,DIST,DIST
HUD_DISTANCE,Distancia al piloto,Distance to the pilot
HUD_FLIGHT_MODE,Modo de vuelo,Flight mode
HUD_GIMBAL,GMB,GMB
HUD_GIMBAL_TILT,Inclinación del gimbal,Gimbal tilt
HUD_HDG,RUMBO,HDG
HUD_HEADING,Rumbo,Heading
HUD_HORIZON,Línea de horizonte,Horizon line
HUD_HORIZON_ATTITUDE,Actitud del dron,Drone attitude
HUD_HORIZON_CAMERA,Real (cámara),Real (camera)
HUD_HORIZON_MODE,Horizonte en vista piloto,Horizon in pilot view
HUD_LADDER,Escalera de cabeceo,Pitch ladder
HUD_MODE_ACRO,ACRO,ACRO
HUD_MODE_HORIZON,ACTITUD,ATTITUDE
HUD_MODE_LAUNCH,LANZAMIENTO,LAUNCH
HUD_MODE_RECOVER,RECUPERACIÓN,RECOVERY
HUD_MODE_SPEED,SPEED,SPEED
HUD_MODE_STABILIZED,ESTABILIZADO,STABILIZED
HUD_MODE_TURTLE,TORTUGA,TURTLE
HUD_NUMBERS_RATE,Frecuencia de números,Numbers refresh rate
HUD_PILOT_GUIDE,Guía de pilotaje,Flight guide
HUD_PRESET,Preset del HUD,HUD preset
HUD_PRESET_CINE,Cine,Cinema
HUD_PRESET_CUSTOM,Personalizado,Custom
HUD_PRESET_FULL,Completo,Full
HUD_PRESET_PILOT,Piloto,Pilot
HUD_SCORE_BARS,Barras de puntaje al grabar,Score bars while recording
HUD_SPD,VEL,SPD
HUD_SPEED,Velocidad,Speed
HUD_STATUS_ARMED,ARMADO,ARMED
HUD_STATUS_BATTERY_EMPTY,SIN BATERÍA,BATTERY EMPTY
HUD_STATUS_DISARMED,DESARMADO,DISARMED
HUD_STATUS_LAUNCH,CONTROL DE LANZAMIENTO,LAUNCH CONTROL
HUD_STATUS_RECOVERY,RECUPERACIÓN TRAS CHOQUE,CRASH RECOVERY
HUD_STATUS_RECOVERY_MODE,MODO RECUPERACIÓN,CRASH RECOVERY MODE
HUD_STATUS_THROTTLE_HIGH,ACELERADOR ABAJO PARA ARMAR,THROTTLE DOWN TO ARM
HUD_STATUS_THROTTLE_TO_CENTER,ACELERADOR AL CENTRO PARA ARMAR,CENTER THE THROTTLE TO ARM
HUD_STATUS_TOGGLE,"Estado (armado, desarmado)","State (armed, disarmed)"
HUD_STATUS_TURTLE,MODO TORTUGA,TURTLE MODE
HUD_STICKS,Visor de sticks,Stick display
HUD_THIRDS,Grilla de tercios (vista gimbal),Rule of thirds grid (gimbal view)
HUD_UNIT_DEG_SHORT,°,°
HUD_UNIT_KMH,km/h,km/h
HUD_UNIT_M,m,m
HUD_UNIT_MPS,m/s,m/s
HUD_VS,VS,VS
LOADING_DONE,Listo,Ready
LOADING_FOREST,Plantando el bosque…,Planting the forest…
LOADING_ROAD,Trazando el camino…,Laying out the road…
LOADING_TERRAIN,Generando el terreno…,Generating the terrain…
LOADING_TIP,Consejo,Tip
MAIN_BEST_GRADE,Mejor nota,Best grade
MAIN_NEXT,Próxima etapa,Next stage
MAIN_PLAY,Jugar,Play
MAIN_PROGRESS,Progreso,Progress
MAIN_STAGES,Etapas,Stages
MAIN_STAGES_DONE,Etapas con toma entregada,Stages with a clip delivered
MENU_BACK_TO_MENU,Volver al menú,Back to menu
MENU_BACK_TO_MENU_CONFIRM,¿Volver al menú principal? Se pierden las tomas de esta pasada.,Back to the main menu? The clips of this run are lost.
MENU_HELP,Ayuda,Help
MENU_OPTIONS,Opciones,Options
MENU_PAUSED,En pausa,Paused
MENU_PAUSED_HINT,La etapa está detenida,The stage is on hold
MENU_QUAD_SETTINGS,Ajustes del dron,Quad settings
MENU_QUIT,Salir,Quit
MENU_QUIT_CONFIRM,¿Querés salir del juego?,Do you want to quit the game?
MENU_RESTART_CONFIRM,¿Reiniciar la etapa? Se pierden las tomas de esta pasada.,Restart the stage? The clips of this run are lost.
MENU_RESTART_STAGE,Reiniciar etapa,Restart stage
MENU_RESUME,Continuar,Resume
OPT_AUDIO,Audio,Audio
OPT_AUDIO_DESC,"Volumen general, de los motores, del auto y de la interfaz.","Master, motors, car and interface volume."
OPT_CONTROLS,Controles,Controls
OPT_CONTROLS_DESC,"Mando activo, zona muerta, calibración y asignaciones.","Active controller, dead zone, calibration and bindings."
OPT_GAME,Juego y HUD,Game and HUD
OPT_GAME_DESC,"Navegación con sticks, visor del dron y presets del HUD.","Stick navigation, the drone viewfinder and HUD presets."
OPT_SUBTITLE,Ajustá el juego a tu gusto,Make the game yours
OPT_TITLE,Opciones,Options
P," R e Y: máximo de cada eje en grados por segundo.""","Horizontal axis: stick position, from full left to full right.
Vertical axis: rotation speed requested by that position.
P, R and Y: maximum of each axis in degrees per second."
PAUSE_CLIPS,Tomas entregadas,Clips delivered
PAUSE_CONTROLS,Controles,Controls
PAUSE_NO_CLIPS,Todavía no entregaste ninguna toma.,No clips delivered yet.
PAUSE_STAGE,Etapa,Stage
QUAD_ACRO_PLUS,Acro+,Acro+
QUAD_BATTERY_WEIGHT,Peso de batería,Battery weight
QUAD_CAMERA_ANGLE,Ángulo de cámara,Camera angle
QUAD_CENTER_RATE,Center Rate,Center Rate
QUAD_DEFAULT_MODE,Modo al desplegar,Mode when deployed
QUAD_DRY_WEIGHT,Peso en seco,Dry weight
QUAD_EXPO,Expo,Expo
QUAD_FOV,Campo de visión FPV,FPV field of view
QUAD_HELP_ACTUAL_EXPO,"Expo: reparte la diferencia entre Center Rate y Max Rate a lo largo del recorrido.
Con 0 la curva sube de forma progresiva desde el centro. Con valores altos se mantiene
cerca de Center Rate en gran parte del recorrido y la subida se concentra en los extremos:
precisión en el centro sin renunciar a un máximo alto. Orientativo: 0.3.","Expo: spreads the difference between Center Rate and Max Rate along the stick travel.
With 0 the curve rises progressively from the center. With high values it stays
close to Center Rate for most of the travel and the rise is concentrated at the ends:
precision in the center without giving up a high maximum. Guide: 0.3."
QUAD_HELP_ACTUAL_RATE,"Max Rate: velocidad de giro con el stick a fondo, en grados por segundo.
Define lo rápido que podés hacer un flip: a 360 un giro completo tarda 1 segundo.
Debe ser mayor que Center Rate; si son iguales, la curva es una recta y Expo no hace nada.
Orientativo: 400 para aprender, 670 es el valor por defecto de Betaflight.","Max Rate: rotation speed with the stick at full deflection, in degrees per second.
It defines how fast you can flip: at 360 a full turn takes 1 second.
It must be higher than Center Rate; if they are equal the curve is a straight line and Expo does nothing.
Guide: 400 to learn, 670 is the Betaflight default."
QUAD_HELP_ACTUAL_RC,"Center Rate: sensibilidad cerca del centro, en grados por segundo.
Al 10 % de stick obtenés el 10 % de este valor. Es el número que más define
la sensación en vuelo normal, porque casi siempre volás cerca del centro.
Orientativo: 70-100 para empezar, hasta 200 para pilotos ágiles.","Center Rate: sensitivity around the center, in degrees per second.
At 10 % stick you get 10 % of this value. It is the number that most defines
how normal flight feels, because you almost always fly near the center.
Guide: 70-100 to start, up to 200 for agile pilots."
QUAD_HELP_BATTERY_WEIGHT,"Peso de la batería, en gramos. Se suma al peso en seco.
Orientativo: una LiPo 4S de 1300 mAh pesa unos 180 g; una 6S de 1100 mAh, unos 200 g.","Battery weight, in grams. It adds to the dry weight.
Guide: a 4S 1300 mAh LiPo weighs about 180 g; a 6S 1100 mAh one, about 200 g."
QUAD_HELP_CAMERA_ANGLE,"Inclinación de la cámara de piloto respecto al dron, en grados.
A mayor ángulo, más inclinado hacia adelante tenés que volar para ver el horizonte,
es decir, más rápido. Orientativo: 15-25 para volar tranquilo, 30-45 para ir rápido.
La cámara del gimbal, la que graba, no depende de este valor.","Tilt of the pilot camera relative to the drone, in degrees.
The higher the angle, the more you have to lean forward to see the horizon,
that is, the faster you fly. Guide: 15-25 for relaxed flying, 30-45 to go fast.
The gimbal camera, the one that records, does not depend on this value."
QUAD_HELP_DEFAULT_MODE,"Modo de vuelo con el que arranca el dron cada vez que lo desplegás.
Estabilizado mantiene posición y altura solo: el ideal con gamepad.
Actitud se nivela solo pero el acelerador controla el empuje directo, como en el simulador.
Acro no se nivela: control total, pensado para una radio.","Flight mode the drone starts in every time you deploy it.
Stabilized holds position and altitude by itself: the best choice with a gamepad.
Attitude levels itself but the throttle drives the thrust directly, like in the simulator.
Acro does not level itself: full control, meant for a radio."
QUAD_HELP_DRY_WEIGHT,"Peso del dron sin batería, en gramos.
Más peso significa más inercia, respuestas más lentas y menos empuje sobrante.
Orientativo: 550 g es un 5 pulgadas de freestyle con cámara de acción; 300 g, uno de carreras.","Weight of the drone without battery, in grams.
More weight means more inertia, slower responses and less spare thrust.
Guide: 550 g is a 5 inch freestyle quad with an action camera; 300 g, a racing one."
QUAD_HELP_FOV,"Campo de visión horizontal de la vista de piloto, en grados.
Más grande muestra más del entorno pero deforma más los bordes.
Orientativo: 100-110 para volar, 80-90 para una imagen más cercana.","Horizontal field of view of the pilot view, in degrees.
A wider view shows more of the surroundings but bends the edges more.
Guide: 100-110 to fly, 80-90 for a closer image."
QUAD_HELP_GRAPH,"Eje horizontal: posición del stick, de todo a la izquierda a todo a la derecha.
Eje vertical: velocidad de giro que pide esa posición.","Horizontal axis: stick position, from full left to full right.
Vertical axis: rotation speed requested by that position."
QUAD_HELP_KISS_EXPO,"RC Curve: expo de la zona central. 0 es lineal; cuanto más alto, más suave cerca del centro.","RC Curve: expo of the center. 0 is linear; the higher, the softer around the center."
QUAD_HELP_KISS_RATE,"Rate: curva ""super rate"" de 0 a 99. Cuanto mayor, más se concentra
la velocidad en los extremos del stick y mayor es el máximo.","Rate: ""super rate"" curve from 0 to 99. The higher, the more the speed
is concentrated at the ends of the stick travel and the higher the maximum."
QUAD_HELP_KISS_RC,RC Rate: sensibilidad general del stick. Multiplica toda la curva.,RC Rate: overall stick sensitivity. It scales the whole curve.
QUAD_HELP_PITCH,"Pitch: inclinar el morro arriba o abajo (stick derecho adelante y atrás).
Es lo que hace avanzar o frenar al dron.","Pitch: tilt the nose up or down (right stick forward and back).
It is what makes the drone move forward or brake."
QUAD_HELP_QUICKRATES_EXPO,"Expo: suaviza la zona central. 0 es lineal; cuanto más alto, más plano cerca del centro.","Expo: softens the center. 0 is linear; the higher, the flatter around the center."
QUAD_HELP_QUICKRATES_RATE,"Max Rate: velocidad de giro con el stick a fondo, en grados por segundo.","Max Rate: rotation speed with the stick at full deflection, in degrees per second."
QUAD_HELP_QUICKRATES_RC,RC Rate: sensibilidad cerca del centro.,RC Rate: sensitivity around the center.
QUAD_HELP_RACEFLIGHT_EXPO,"Expo: suaviza la zona central. 0 es lineal; cuanto más alto, más plano cerca del centro.","Expo: softens the center. 0 is linear; the higher, the flatter around the center."
QUAD_HELP_RACEFLIGHT_RATE,"Rate: velocidad de giro base con el stick a fondo, en grados por segundo, con Acro+ en 0.","Rate: base rotation speed with the stick at full deflection, in degrees per second, with Acro+ at 0."
QUAD_HELP_RACEFLIGHT_RC,"Acro+: añade velocidad extra hacia los extremos del stick.
El máximo real pasa a ser Rate x (1 + Acro+ / 100).","Acro+: adds extra speed toward the ends of the stick travel.
The real maximum becomes Rate x (1 + Acro+ / 100)."
QUAD_HELP_RATES_CURVE,"Fórmula que convierte la posición del stick en velocidad de giro.
Todas describen lo mismo con parámetros distintos. ACTUAL es la más fácil de razonar
porque sus valores están directamente en grados por segundo.
Al cambiar de curva los números se conservan pero cambian de significado:
pulsá Restablecer rates para cargar valores razonables de la curva elegida.","Formula that turns the stick position into a rotation speed.
They all describe the same thing with different parameters. ACTUAL is the easiest to reason
about because its values are directly in degrees per second.
When you change the curve the numbers are kept but their meaning changes:
press Reset rates to load sensible values for the selected curve."
QUAD_HELP_RESET_QUAD,"Restaura el ángulo de cámara, los pesos y el campo de visión por defecto.","Restores the default camera angle, weights and field of view."
QUAD_HELP_RESET_RATES,Carga los valores por defecto de la curva de rates seleccionada.,Loads the default values of the selected rates curve.
QUAD_HELP_ROLL,"Roll: inclinarse a izquierda o derecha (stick derecho lateral).
Desplaza el dron de costado. Conviene mantenerlo igual que Pitch:
el dron es simétrico en estos dos ejes.","Roll: lean left or right (right stick sideways).
It moves the drone sideways. Keep it equal to Pitch:
the drone is symmetric on these two axes."
QUAD_HELP_YAW,"Yaw: girar sobre el eje vertical, cambiar hacia dónde mira el morro
(stick izquierdo lateral). Es el eje más débil del dron, porque solo dispone
del par de reacción de las hélices, así que suele llevar un máximo algo menor.","Yaw: rotate around the vertical axis, change where the nose points
(left stick sideways). It is the weakest axis of the drone, because it only relies
on the reaction torque of the propellers, so it usually has a slightly lower maximum."
QUAD_MAX_RATE,Max Rate,Max Rate
QUAD_MODE_ACRO,Acro,Acro
QUAD_MODE_ATTITUDE,Actitud,Attitude
QUAD_MODE_STABILIZED,Estabilizado,Stabilized
QUAD_PITCH,Pitch,Pitch
QUAD_RATE,Rate,Rate
QUAD_RATES_CURVE,Curva de rates,Rates curve
QUAD_RC_CURVE,RC Curve,RC Curve
QUAD_RC_RATE,RC Rate,RC Rate
QUAD_RESET_QUAD,Restablecer dron,Reset quad
QUAD_RESET_RATES,Restablecer rates,Reset rates
QUAD_ROLL,Roll,Roll
QUAD_SECTION_CAMERA,Cámara FPV,FPV camera
QUAD_SECTION_FLIGHT,Vuelo,Flight
QUAD_SECTION_RATES,Rates,Rates
QUAD_SECTION_WEIGHT,Peso,Weight
QUAD_TITLE,Ajustes del dron,Quad settings
QUAD_YAW,Yaw,Yaw
RESULTS_BEST,Mejor nota de la pasada,Best grade of the run
RESULTS_FIRST,Primera nota en esta etapa,First grade on this stage
RESULTS_MENU,Menú principal,Main menu
RESULTS_NEXT,Siguiente: Etapa %d,Next: Stage %d
RESULTS_RECORD,¡Nuevo récord!,New record!
RESULTS_RETRY,Repetir etapa,Retry stage
RESULTS_UNLOCKED,Desbloqueaste la %s,Unlocked: %s
STAGES_SUBTITLE,Elegí dónde filmar el paso del auto,Choose where to film the car go by
STAGE_CLIPS,Tomas entregadas: %d,Clips delivered: %d
STAGE_LOCKED,Se abre con una toma %s o mejor en la %s.,Opens with a %s clip or better on %s.
STAGE_LOCKED_TITLE,Bloqueada,Locked
STAGE_NUMBER,Etapa %d,Stage %d
TIP_BATTERY,La batería dura unos tres minutos flotando: despegá cuando el auto esté por llegar.,The battery lasts about three minutes hovering: take off when the car is about to arrive.
TIP_CRASH,Un choque fuerte pierde la toma que estabas grabando.,A hard crash loses the clip you were recording.
TIP_GIMBAL,Inclinar el gimbal hacia el camino ayuda a encuadrar desde más alto.,Tilting the gimbal toward the road helps framing from higher up.
TIP_STABILIZED,"En Estabilizado, al soltar los sticks el dron se queda quieto donde está.","In Stabilized, releasing the sticks leaves the drone still where it is."
